Inventory ID,Item Name,Category,Quantity,Unit,Reorder Level,Unit Cost,Total Value
"1","Chicken Breast","","0","pcs","0","0","0"
"2","Burger Buns","","0","pcs","0","0","0"
"3","Fries","","0","pcs","0","0","0"
"inv_cola","COLA","Raw Material","0","kg","0","0","0"
"inv_sprite","SPRITE","Raw Material","0","kg","0","0","0"
"inv_ice_cube","ICE CUBE","Raw Material","0","kg","0","0","0"
"inv_bev_lid_330","BEVERAGES WITH LID 330ML","Packing Material","0","pc","0","0","0"
"inv_bev_lid_650","BEVERAGES WITH LID 650ML","Packing Material","0","pc","0","0","0"
"inv_straw","Straw","Packing Material","0","pc","0","0","0"
"inv_labour","Labour Cost","Overhead","0","unit","0","0","0"
"inv_lime","Lime Premix/Flavor","Raw Material","0","kg","0","0","0"
"inv_peach","Peach Premix/Flavor","Raw Material","0","kg","0","0","0"
"inv_paper_straw","Paper Straw","Packing Material","0","pc","0","0","0"
"inv_bev_lid_650_icetea","Beverages with LID 650ml (Ice Tea)","Packing Material","0","pc","0","0","0"
"inv_butter","Butter","Raw Material","0","kg","0","0","0"
"inv_dark_compound","Dark Compound","Raw Material","0","kg","0","0","0"
"inv_egg","Egg","Raw Material","0","pc","0","0","0"
"inv_vanilla_essence","Vanilla Essence","Raw Material","0","kg","0","0","0"
"inv_white_sugar","White Sugar","Raw Material","0","kg","0","0","0"
"inv_maida","Maida","Raw Material","0","kg","0","0","0"
"inv_brown_sugar","Brown Sugar","Raw Material","0","kg","0","0","0"
"inv_milk_compound","Milk Compound","Raw Material","0","kg","0","0","0"
"inv_white_compound","White Compound","Raw Material","0","kg","0","0","0"
"inv_dinning_tray_250ml","Dinning Tray 250ml","Packing Material","0","pc","0","0","0"
"inv_wooden_spoon","Wooden Spoon","Packing Material","0","pack","0","0","0"
"inv_tissue_paper","Tissue Paper","Packing Material","0","kg","0","0","0"
"inv_takeaway_bags","Take Away Bags","Packing Material","0","pc","0","0","0"
"inv_fried_chicken_mix","Fried Chicken Mixed Breading","Raw Material","0","kg","0","0","0"
"inv_extra_hot_spicy","Extra Hot and Spicy Marinade","Raw Material","0","kg","0","0","0"
"inv_refined_oil","Refined Oil","Raw Material","0","kg","0","0","0"
"inv_chicken_leg_thigh","Chicken Leg & Thigh Raw","Raw Material","0","kg","0","0","0"
"inv_chicken_cover_1pc","Chicken Cover 1 Pc","Packing Material","0","pc","0","0","0"
"inv_chicken_tub_4pc","Chicken Tub 4 Pcs","Packing Material","0","pc","0","0","0"
"inv_tub_lid_4pc","Tub Lid 4 Pcs","Packing Material","0","pc","0","0","0"
"inv_chicken_wings","Chicken Wings Raw","Raw Material","0","kg","0","0","0"
"inv_wings_box_6pc","Wings Box 6 Pcs","Packing Material","0","pc","0","0","0"
"inv_chicken_strips","Chicken Strips Boneless Raw","Raw Material","0","kg","0","0","0"
"inv_dry_yeast","Dry Yeast","Raw Material","0","kg","0","0","0"
"inv_cp_powder","CP Powder","Raw Material","0","kg","0","0","0"
"inv_iceberg","Iceberg","Vegetables","0","kg","0","0","0"
"inv_onion","Onion","Vegetables","0","kg","0","0","0"
"inv_tomato","Tomato","Raw Material","0","kg","0","0","0"
"inv_cucumber","Cucumber","Raw Material","0","kg","0","0","0"
"inv_olives","Olives","Raw Material","0","kg","0","0","0"
"inv_jalapeno","Jalapeno","Raw Material","0","kg","0","0","0"
"inv_spicy_chicken","Spicy Chicken Cooked","Raw Material","0","kg","0","0","0"
"inv_hummus","Hummus Dip","Raw Material","0","kg","0","0","0"
"inv_peri_peri_sauce","Peri Peri Sauce","Raw Material","0","kg","0","0","0"
"inv_honey_mustard","Honey Mustard","Raw Material","0","kg","0","0","0"
"inv_dining_sheet","Dining Sheet","Packing Material","0","pc","0","0","0"
"inv_dinning_tray","Dinning Tray","Packing Material","0","pc","0","0","0"
"inv_cream_chicken","Cream Chicken Cooked","Raw Material","0","kg","0","0","0"
"inv_pesto_chicken","Pesto Chicken Cooked","Raw Material","0","kg","0","0","0"
"inv_basil","Fresh Basil","Raw Material","0","kg","0","0","0"
"inv_almond","Almonds","Raw Material","0","kg","0","0","0"
"inv_black_pepper","Black Pepper","Raw Material","0","kg","0","0","0"
"inv_spicy_paneer","Spicy Paneer Cooked","Raw Material","0","kg","0","0","0"
"inv_cream_paneer","Cream Paneer Cooked","Raw Material","0","kg","0","0","0"
"inv_bbq_paneer","BBQ Paneer Cooked","Raw Material","0","kg","0","0","0"
"inv_pesto_paneer","Pesto Paneer Cooked","Raw Material","0","kg","0","0","0"
"inv_potato","Potato Raw / Frozen Fries","Raw Material","0","kg","0","0","0"
"inv_cajun_masala","Cajun / Kaju Masala","Raw Material","0","kg","0","0","0"
"inv_fries_cup","Fries Cup 250ml","Packing Material","0","pc","0","0","0"
"inv_paper_bag","Paper Bag","Packing Material","0","pc","0","0","0"
"inv_vanilla_crush","Vanilla Crush / Premix","Raw Material","0","kg","0","0","0"
"inv_strawberry_crush","Strawberry Crush","Raw Material","0","kg","0","0","0"
"inv_biscoff_spread","Biscoff Spread","Raw Material","0","kg","0","0","0"
"inv_chocolate_sauce","Dark Chocolate Sauce","Raw Material","0","kg","0","0","0"
"inv_kunafa_pistachio","Kunafa Pistachio Paste","Raw Material","0","kg","0","0","0"
"inv_pet_glass_350","PET Glass 350ml","Packing Material","0","pc","0","0","0"
"inv_pet_glass_500","PET Glass 500ml","Packing Material","0","pc","0","0","0"
"inv_hot_choco_powder","Hot Chocolate Powder","Raw Material","0","kg","0","0","0"
"inv_paper_cup_250","Paper Cup 250ml","Packing Material","0","pc","0","0","0"
"inv_softy_mix","Softy Liquid Mix","Raw Material","0","L","0","0","0"
"inv_waffle_cone","Waffle Cone","Packing Material","0","pc","0","0","0"
"inv_kombucha_base","Kombucha Fermented Base","Raw Material","0","L","0","0","0"
"inv_ginger_kombucha_350ml","Ginger Kombucha 350ml","Beverages","0","pc","0","0","0"
"inv_hibiscus_kombucha_350ml","Hibiscus Kombucha 350ml","Beverages","0","pc","0","0","0"
"inv_mint_kombucha_350ml","Mint Kombucha 350ml","Beverages","0","pc","0","0","0"
"inv_boneless_chicken","Boneless Chicken","Meats","0","kg","0","0","0"
"inv_aluminium_roll","Aluminium Roll","Packing Material","0","kg","0","0","0"
"inv_beverages_350ml_with_lid","Beverages 350ml with Lid","Packing Material","0","pc","0","0","0"
"inv_beverages_500ml_with_lid","Beverages 500ml with Lid","Packing Material","0","pc","0","0","0"
"inv_burger_box","Burger Box","Packing Material","0","pc","0","0","0"
"inv_butter_paper","Butter Paper","Packing Material","0","kg","0","0","0"
"inv_butter_sheet_roll","Butter Sheet Roll","Packing Material","0","roll","0","0","0"
"inv_carry_bag_13_x_16","Carry Bag 13 X 16","Packing Material","0","pack","0","0","0"
"inv_chicken_cover_2_pcs","Chicken Cover 2 Pcs","Packing Material","0","pc","0","0","0"
"inv_chicken_cover_4_pcs","Chicken Cover 4 Pcs","Packing Material","0","pc","0","0","0"
"inv_chicken_tub_8_pcs","Chicken Tub 8 Pcs","Packing Material","0","pc","0","0","0"
"inv_cling_wrap","Cling Wrap","Packing Material","0","pc","0","0","0"
"inv_dinning_tray_500ml","Dinning Tray 500ml","Packing Material","0","pc","0","0","0"
"inv_dip_small_bowl","Dip Small Bowl","Packing Material","0","pc","0","0","0"
"inv_foam_large","Foam Large","Packing Material","0","pc","0","0","0"
"inv_garbage_cover_jumbo","Garbage Cover Jumbo","Packing Material","0","kg","0","0","0"
"inv_hand_nitrile_gloves","Hand Nitrile Gloves","Packing Material","0","pack","0","0","0"
"inv_hand_wash","Hand Wash","Packing Material","0","container","0","0","0"
"inv_juice_cup_250ml","Juice Cup 250ml","Packing Material","0","pc","0","0","0"
"inv_juice_paper_cup_roll","Juice Paper Cup Roll","Packing Material","0","roll","0","0","0"
"inv_mel_cup","Mel Cup","Packing Material","0","pack","0","0","0"
"inv_paper_bag___large","Paper Bag - Large","Packing Material","0","pc","0","0","0"
"inv_paper_bag___small","Paper Bag - Small","Packing Material","0","pc","0","0","0"
"inv_paper_plate","Paper Plate","Packing Material","0","pack","0","0","0"
