Order ID,Bill Number,Date,Type,Total,Payment Method,Status
2e3d5277-9523-456a-b983-4efcd05ebfb1,1113,2026-06-30T09:36:36.736Z,dine-in,236,upi,completed
res_ij74bjm,2002,2026-08-28T06:57:46.478Z,dine-in,209,upi,completed
res_cvynd0n,2003,2026-08-28T07:44:29.560Z,dine-in,680,upi,completed
res_44gq633,2004,2026-08-28T07:57:05.892Z,dine-in,124,cash,completed
res_scdzfxy,2005,2026-08-28T08:08:24.022Z,dine-in,522,card,completed
res_ngl61pd,2006,2026-08-28T08:15:34.269Z,dine-in,2872,upi,completed
res_2vqc4g6,2007,2026-08-28T08:52:36.763Z,dine-in,1470,upi,completed
res_w578kx0,2008,2026-08-28T09:43:38.376Z,dine-in,502,cash,completed
res_0jmvw3z,2009,2026-08-28T10:59:11.346Z,dine-in,209,upi,completed
res_edej05r,1183,2026-08-28T11:50:49.071Z,dine-in,209,upi,completed
res_ozou9nt,1184,2026-08-28T12:25:56.530Z,dine-in,252,cash,completed
res_d3ngj99,1185,2026-08-28T12:41:20.319Z,takeaway,230,upi,completed
res_32k1750,1186,2026-08-28T12:45:19.662Z,dine-in,120,cash,completed
res_i35zzgz,1187,2026-08-28T13:05:47.827Z,dine-in,334,split,completed
res_tkfwkw9,1188,2026-08-28T13:31:34.737Z,takeaway,378,card,completed
res_socz5em,1189,2026-08-28T13:37:05.593Z,dine-in,147,upi,completed
res_u280vit,1190,2026-08-28T13:45:25.300Z,dine-in,335,upi,completed
res_qtaw4vp,1191,2026-08-28T13:50:18.895Z,dine-in,433,upi,completed
res_q00fcz1,1192,2026-08-28T14:18:07.663Z,dine-in,209,upi,completed
res_270vipm,1193,2026-08-28T14:31:43.091Z,dine-in,1373,upi,completed
res_tjy0oeb,1194,2026-08-28T14:40:44.224Z,takeaway,471,upi,completed
res_u1xywwh,1195,2026-08-28T14:43:11.273Z,takeaway,607,upi,completed
res_2kne8uu,1196,2026-08-28T15:01:00.729Z,dine-in,271,upi,completed
res_86wuohn,1197,2026-08-28T15:07:26.948Z,dine-in,418,split,completed
res_x5gegl8,1198,2026-08-28T15:19:32.636Z,dine-in,1319,cash,completed
res_5d2p7t2,1199,2026-08-28T15:20:38.583Z,dine-in,209,upi,completed
res_p3fgv9w,1200,2026-08-28T15:29:00.264Z,dine-in,407,split,completed
res_ucp4a2y,1201,2026-08-28T15:30:39.854Z,takeaway,1045,split,completed
cf37720b-d5ac-4a58-8922-cfce04ee6102,1202,2026-08-28T16:35:22.471Z,dine-in,460,upi,completed
ee7a38a0-91df-4bdf-a4c1-1db9833bd273,1203,2026-08-28T16:57:19.544Z,dine-in,147,upi,completed
03d7d124-7001-4e49-ac5b-60ff157490db,1204,2026-08-28T17:03:57.831Z,dine-in,209,cash,completed
