S.No,Item ID,Item Name,Category,Selling Price (INR),Estimated Cost (INR),Estimated Profit (INR),Margin (%),Status,Image Path,Description
1,"m_spicy_gyro","Spicy Gyro","Gyros",199,0,199,"100%","Available","/images/menu/gyro.png","Spicy gyro wrap (Choose: Chicken or Paneer)"
2,"m_creamy_gyro","Creamy Gyro","Gyros",199,0,199,"100%","Available","/images/menu/gyro.png","Creamy tzatziki gyro wrap (Choose: Chicken or Paneer)"
3,"m_bbq_gyro","BBQ Gyro","Gyros",199,0,199,"100%","Available","/images/menu/gyro.png","Rich BBQ gyro wrap (Choose: Chicken or Paneer)"
4,"m_signature_gyro","Signature Gyro","Gyros",199,0,199,"100%","Available","/images/menu/gyro.png","TDG signature gyro wrap with secret sauce (Choose: Chicken or Paneer)"
5,"m_legthigh_1pc","1 Pc Leg & Thigh (1 Dip)","Leg & Thigh",70,0,70,"100%","Available","/images/menu/leg_thigh.png","1 Pc Crispy Leg & Thigh + 1 Choice Dip"
6,"m_legthigh_2pc","2 Pc Leg & Thigh (1 Dip)","Leg & Thigh",140,0,140,"100%","Available","/images/menu/leg_thigh.png","2 Pc Crispy Leg & Thigh + 1 Choice Dip"
7,"m_legthigh_4pc","4 Pc Leg & Thigh (2 Dips)","Leg & Thigh",280,0,280,"100%","Available","/images/menu/leg_thigh.png","4 Pc Crispy Leg & Thigh + 2 Choice Dips"
8,"m_legthigh_8pc","8 Pc Leg & Thigh (4 Dips)","Leg & Thigh",560,0,560,"100%","Available","/images/menu/leg_thigh.png","8 Pc Crispy Leg & Thigh + 4 Choice Dips"
9,"m_legthigh_12pc","12 Pc Leg & Thigh (6 Dips)","Leg & Thigh",840,0,840,"100%","Available","/images/menu/leg_thigh.png","12 Pc Crispy Leg & Thigh + 6 Choice Dips"
10,"m_wings_3pc","3 Pc Wings (1 Dip)","Wings",90,0,90,"100%","Available","/images/menu/wings.png","3 Pc Crispy Chicken Wings + 1 Choice Dip"
11,"m_wings_6pc","6 Pc Wings (2 Dips)","Wings",180,0,180,"100%","Available","/images/menu/wings.png","6 Pc Crispy Chicken Wings + 2 Choice Dips"
12,"m_wings_9pc","9 Pc Wings (3 Dips)","Wings",270,0,270,"100%","Available","/images/menu/wings.png","9 Pc Crispy Chicken Wings + 3 Choice Dips"
13,"m_wings_20pc","20 Pc Wings (6 Dips)","Wings",600,0,600,"100%","Available","/images/menu/wings.png","20 Pc Crispy Chicken Wings + 6 Choice Dips"
