Item ID,SKU Code,Item Name,Category,Base Price,Selling Price,Tax Rate %,Food Type,Status,Description
"m_spicy_gyro","","Spicy Gyro","","199","199","0","Non-Veg","Active","Spicy gyro wrap (Choose: Chicken or Paneer)"
"m_creamy_gyro","","Creamy Gyro","","199","199","0","Non-Veg","Active","Creamy tzatziki gyro wrap (Choose: Chicken or Paneer)"
"m_bbq_gyro","","BBQ Gyro","","199","199","0","Non-Veg","Active","Rich BBQ gyro wrap (Choose: Chicken or Paneer)"
"m_signature_gyro","","Signature Gyro","","199","199","0","Non-Veg","Active","TDG signature gyro wrap with secret sauce (Choose: Chicken or Paneer)"
"m_legthigh_1pc","","1 Pc Leg & Thigh (1 Dip)","","70","70","0","Non-Veg","Active","1 Pc Crispy Leg & Thigh + 1 Choice Dip"
"m_legthigh_2pc","","2 Pc Leg & Thigh (1 Dip)","","140","140","0","Non-Veg","Active","2 Pc Crispy Leg & Thigh + 1 Choice Dip"
"m_legthigh_4pc","","4 Pc Leg & Thigh (2 Dips)","","280","280","0","Non-Veg","Active","4 Pc Crispy Leg & Thigh + 2 Choice Dips"
"m_legthigh_8pc","","8 Pc Leg & Thigh (4 Dips)","","560","560","0","Non-Veg","Active","8 Pc Crispy Leg & Thigh + 4 Choice Dips"
"m_legthigh_12pc","","12 Pc Leg & Thigh (6 Dips)","","840","840","0","Non-Veg","Active","12 Pc Crispy Leg & Thigh + 6 Choice Dips"
"m_wings_3pc","","3 Pc Wings (1 Dip)","","90","90","0","Non-Veg","Active","3 Pc Crispy Chicken Wings + 1 Choice Dip"
"m_wings_6pc","","6 Pc Wings (2 Dips)","","180","180","0","Non-Veg","Active","6 Pc Crispy Chicken Wings + 2 Choice Dips"
"m_wings_9pc","","9 Pc Wings (3 Dips)","","270","270","0","Non-Veg","Active","9 Pc Crispy Chicken Wings + 3 Choice Dips"
"m_wings_20pc","","20 Pc Wings (6 Dips)","","600","600","0","Non-Veg","Active","20 Pc Crispy Chicken Wings + 6 Choice Dips"
