Recipe ID,Menu Item ID/Name,Ingredient Name,Quantity,Unit,Unit Cost,Estimated Cost
"r_m53a","COLA 330ML","","1","kg","24","0"
"r_m53a","COLA 330ML","","0.06","kg","6","0"
"r_m53a","COLA 330ML","","1","pc","5.49","0"
"r_m53a","COLA 330ML","","1","pc","0.93","0"
"r_m53a","COLA 330ML","","1","unit","3.2","0"
"r_m54a","SPRITE 330ML","","1","kg","24","0"
"r_m54a","SPRITE 330ML","","0.06","kg","6","0"
"r_m54a","SPRITE 330ML","","1","pc","5.49","0"
"r_m54a","SPRITE 330ML","","1","pc","0.93","0"
"r_m54a","SPRITE 330ML","","1","unit","3.2","0"
"r_m53b","COLA 650ML","","2","kg","24","0"
"r_m53b","COLA 650ML","","0.12","kg","6","0"
"r_m53b","COLA 650ML","","1","pc","6.85","0"
"r_m53b","COLA 650ML","","1","pc","0.93","0"
"r_m53b","COLA 650ML","","1","unit","3.2","0"
"r_m54b","SPRITE 650ML","","2","kg","24","0"
"r_m54b","SPRITE 650ML","","0.12","kg","6","0"
"r_m54b","SPRITE 650ML","","1","pc","6.85","0"
"r_m54b","SPRITE 650ML","","1","pc","0.93","0"
"r_m54b","SPRITE 650ML","","1","unit","3.2","0"
"r_m56a","Lime 330ml","","0.03","kg","550","0"
"r_m56a","Lime 330ml","","0.15","kg","6","0"
"r_m56a","Lime 330ml","","1","pc","5.49","0"
"r_m56a","Lime 330ml","","1","pc","1.1","0"
"r_m56a","Lime 330ml","","1","unit","3.2","0"
"r_m55a","Peach 330ml","","0.03","kg","550","0"
"r_m55a","Peach 330ml","","0.15","kg","6","0"
"r_m55a","Peach 330ml","","1","pc","5.49","0"
"r_m55a","Peach 330ml","","1","pc","1.1","0"
"r_m55a","Peach 330ml","","1","unit","3.2","0"
"r_m56b","Lime 650ml","","0.06","kg","550","0"
"r_m56b","Lime 650ml","","0.3","kg","6","0"
"r_m56b","Lime 650ml","","1","pc","8.09","0"
"r_m56b","Lime 650ml","","1","pc","1.1","0"
"r_m56b","Lime 650ml","","1","unit","3.2","0"
"r_m55b","Peach 650ml","","0.06","kg","550","0"
"r_m55b","Peach 650ml","","0.3","kg","6","0"
"r_m55b","Peach 650ml","","1","pc","8.09","0"
"r_m55b","Peach 650ml","","1","pc","1.1","0"
"r_m55b","Peach 650ml","","1","unit","3.2","0"
"r_m60","CHOCOLATE BROWNIE","","0.017","kg","754.29","0"
"r_m60","CHOCOLATE BROWNIE","","0.025","kg","391.82","0"
"r_m60","CHOCOLATE BROWNIE","","0.333","pc","6.3","0"
"r_m60","CHOCOLATE BROWNIE","","0.001","kg","484.75","0"
"r_m60","CHOCOLATE BROWNIE","","0.017","kg","48.19","0"
"r_m60","CHOCOLATE BROWNIE","","0.017","kg","44.77","0"
"r_m60","CHOCOLATE BROWNIE","","0.008","kg","230","0"
"r_m60","CHOCOLATE BROWNIE","","0.005","kg","328","0"
"r_m60","CHOCOLATE BROWNIE","","1","pc","2.92","0"
"r_m60","CHOCOLATE BROWNIE","","1","pc","1.68","0"
"r_m60","CHOCOLATE BROWNIE","","2","pc","0.27","0"
"r_m60","CHOCOLATE BROWNIE","","1","pc","6.65","0"
"r_m60","CHOCOLATE BROWNIE","","1","unit","3.2","0"
"r_m61","BLONDIE CAKE","","0.017","kg","754.29","0"
"r_m61","BLONDIE CAKE","","0.03","kg","391.82","0"
"r_m61","BLONDIE CAKE","","0.333","pc","6.3","0"
"r_m61","BLONDIE CAKE","","0.001","kg","484.75","0"
"r_m61","BLONDIE CAKE","","0.025","kg","48.19","0"
"r_m61","BLONDIE CAKE","","0.017","kg","44.77","0"
"r_m61","BLONDIE CAKE","","1","pc","2.92","0"
"r_m61","BLONDIE CAKE","","1","pc","1.68","0"
"r_m61","BLONDIE CAKE","","2","pc","0.27","0"
"r_m61","BLONDIE CAKE","","1","pc","6.65","0"
"r_m61","BLONDIE CAKE","","1","unit","3.2","0"
"r_m11","PESTO GYRO (MINI)","","0.008","kg","20","0"
"r_m11","PESTO GYRO (MINI)","","0.003","kg","377.12","0"
"r_m11","PESTO GYRO (MINI)","","0.03","kg","48.19","0"
"r_m11","PESTO GYRO (MINI)","","0.08","kg","44.77","0"
"r_m11","PESTO GYRO (MINI)","","0.03","kg","30","0"
